RUC,RAZÓN SOCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,DIRECCIÓN
20507556737,ESTACION DE SERVICIOS VILLA RICA S.R.L.,LIMA,LIMA,CARABAYLLO,"ESQUINA DE LA AV. LOMAS DE CARABAYLLO - AV. VILLA RICA MZ. A, LOTES 1 Y 2 AAHH. ASOCIACION AGROPECUARIA VILLA RICA"
20511995028,TERPEL PERU S.A.C,LIMA,LIMA,SAN MIGUEL,"AV. ELMER FAUCETT NRO. 320 MZ. C LOTE 25, URB. MARANGA V ETAPA"
20387968360,TRIGAM S.A.C ,LIMA,LIMA,SURQUILLO,"AV, REPUBLICA DE PANAMA N° 5025"
20100075858,GRIFO SAN IGNACIO SAC,LIMA,LIMA,CHORRILLOS,"CALLE CONSTELACION AUSTRAL MZ. D-1 LOTE 10, URB. PARCELACION LA CAMPIÑA"
20100075858,GRIFO SAN IGNACIO,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,AV. PACHACUTEC N° 1700
20492197417,J.E. OPERADORES S.A.C.,CALLAO,CALLAO,CALLAO,"AV. NÉSTOR GAMBETA KM. 7.1, MZ. B-6, LOTES 1,2,3,4,5,6,7,8,43,44,45 Y 46, ESQUINA CON CALLE BRASILIA COOP. DE VIVIENDA DE LOS TRABAJADORES DE ENAPU"
20101313833,GASOLINERAS SAC,LIMA,LIMA,CHORRILLOS,"AV. HUAYLAS N° 2355, URB. SANTA LEONOR"
20143988997,ESTACION GASOLINERA SRL,LIMA,LIMA,SAN JUAN DE LURIGANCHO,AV. PROCERES DE LA INDP.Y LOS POSTES MZ.Z LTS.3-4
20551615856,INVERSIONES JIARA SAC,LIMA,LIMA,SAN LUIS,"AV. LAS TORRES N° 508, ESQUINA CON EL JR. MARISCAL ORBEGOSO, URB. EL PINO"
20535515213,EL GRIFON,LIMA,LIMA,SANTA ANITA,JR. JOSE CARLOS MARIATEGUI Nº 540 URB. UNIVERSAL
20516966620,ESTACION DE SERVICIOS LOS NORTEÑOS S.A.C.,LIMA,LIMA,LURIN,ZONA A PARC. HUERTOS DE SANTA GENOVEVA AV. ANT. PANAMERICANA SUR MZ. E LT. 1 SUB A
20506151547,ENERGIGAS S.A.C.,CALLAO,CALLAO,CALLAO,"AV. GUARDIA CHALACA MZ. 24 LOTE 17, ESQUINA CON AV. SAENZ PEÑA, URB. SANTA MARIA"
20127765279,COESTI S.A,LIMA,LIMA,SAN JUAN DE LURIGANCHO,AV. PROCERES DE LA INDEPENDENCIA N° 2773-2785-2799 ESQUINA CON AV. EL SOL N° 388 - URB. SAN CARLOS
20451706323,ESTACION DE SERVICIOS VAMA S.A.C.,LIMA,LIMA,SAN JUAN DE MIRAFLORES,AV. DE LOS HEROES N° 1187 - 1189
20510422121,SERVICENTRO PASAMAYO S.A.C.,LIMA,LIMA,PUENTE PIEDRA,"CARRETERA PANAMERICANA NORTE KM. 34 Y CALLE SANTA ROSA MZ. K-1, LOTE 12, CENTRO POBLADO ZAPALLAL"
20554545743,CORPORACION PRIMAX S.A.,CALLAO,CALLAO,CALLAO,AV. NESTOR GAMBETTA N° 1265
20554545743,CORPORACION PRIMAX S.A.,CALLAO,CALLAO,VENTANILLA,CARRETERA A VENTANILLA KM. 25
20554545743,CORPORACION PRIMAX S.A. ,LIMA,LIMA,LURIN,CARRETERA PANAMERICANA SUR KM. 26.5
20554545743,CORPORACION PRIMAX S.A.,CALLAO,CALLAO,CALLAO,"AV. NESTOR GAMBETTA KM. 11.5, LOTE B-2"
20118180306,ESTACION CORMAR S.A.,LIMA,LIMA,ATE,AV. CARRETERA CENTRAL S/N KM. 2.5 VITARTE ESQ. AV. INGENIEROS URB. BUENOS AMIGOS
20516752310,OCTANO PERU S.A.C.,LIMA,LIMA,SAN MARTIN DE PORRES,AV. TOMAS VALLE  N° 1207
20343081368,SERVICENTRO SANTA CECILIA S.A.C.,LIMA,LIMA,PUEBLO LIBRE,AV. SIMON BOLIVAR N° 499 ESQUINA CON JR. ISLAS HAWAI
20512081372,NEGOCIACION KIO S.A.C. LURIN,LIMA,LIMA,LURIN,CARRETERA PANAMERICANA SUR KM. 25.62
20504126367,EE.SS. EL ALAMO,LIMA,LIMA,VILLA EL SALVADOR,CARRETERA PANAMERICANA SUR KM 23.5
20101313833,GASOLINERAS  S.A.C.,LIMA,LIMA,LIMA,AV. 28 DE JULIO 159. ESQUINA CON AV. BRASIL
20517072908,ESTACION DE SERVICIO VIRGEN DE LAS NIEVES SAC,LIMA,LIMA,ATE,AV. CARRETERA CENTRAL KM. 13.5
20512105221,GRIFO VILLA HERMOSA S.A.C.,LIMA,LIMA,ATE,"AV. A SUR CALLE 1 Y CALLE 2, RESIDENCIAL VILLA HERMOSA DE HUAYCAN"
20511995702,NEGOCIACION YA S.A.C.,LIMA,LIMA,SAN JUAN DE LURIGANCHO,"AV. WIESSE, MZ. K-19, LOTE 15 "
20602158731,YE PETROLEUM S.A.C.,LIMA,LIMA,ATE,"AV. LOS CASTILLOS Nº 340, URB. INDUSTRIAL SANTA ROSA"
20610758950,NEGOCIACIÓN KIO S.A.C. PACHACAMAC,LIMA,LIMA,PACHACAMAC,PARCELACIÓN HUERTOS DE VILLENA MZ. B LT. 4
20610577963,FEY PARTNERS S.A.C.,LIMA,LIMA,ATE,"AV. MARCO DE LA PUENTE LLANOS ESQ. CON CALLE 4 MZ. ""E"" LOTE 3B, URB. BARBADILLO"
20512090878,EPAL NEGOCIOS S.A.C.,LIMA,LIMA,PUNTA NEGRA,"ESQ. ANTIGUA PANAMERICANA SUR KM. 46.800. MZ. M, LT. 2-4 Y CALLE 18, LOCALIDAD PUNTA ROCAS "
20182013995,ASOCIACION GREMIO DE PESCADORES DE PUCUSANA,LIMA,LIMA,PUCUSANA,"MALECON SAN MARTIN N° 100  102, PUCUSANA"
20603111304,"MOBIL PETROLEUM OVERSEAS COMPANY LIMITED, SUCURSAL DEL PERU",CALLAO,CALLAO,CALLAO,AV. NESTOR GAMBETA N° 1265
20346680351,ESTACION DE SERVICIOS EL PINO E.I.R.L.,LIMA,LIMA,SAN LUIS,"JR. MANUEL ECHEANDIA N° 586 ESQ. CON AV. CIRCUNVALACIÓN MZ. A, LOTES 6,7 Y 8, URB. LOTIZACIÓN INDUSTRIAL EL PINO"
20161800920,LUBRIGAS S.R.LTDA.,LIMA,LIMA,ATE,CARRETERA CENTRAL KM. 2.5. LOTE 6-A1
20492574067,CORPORACION VISTA ALEGRE S.A.C.,LIMA,LIMA,ATE,AV. NICOLAS AYLLON N° 4706 (LOTE A - FUNDO VISTA ALEGRE)
20508607106,GASOCENTRO NORTE S.A.C.,LIMA,LIMA,INDEPENDENCIA,AV. GERARDO UNGER N° 3301 ESQ. CON JR. RUFINO MACEDO
10418893058,PALACIOS GAMARRA PERCY JOEL,LIMA,LIMA,SAN MARTIN DE PORRES,"ESQUINA DE LA AV. CANTA CALLAO Y LOS DOMINICOS MZ. E LOTE 7, URB. LAS BRISAS DE SANTA ROSA"
20523706803,PETRO EXPLORIUM,LIMA,LIMA,ATE,"CALLE SAN CARLOS RD, MZ. C LOTE 14"
20514303283,EXPLORIUM S.A.C.,LIMA,LIMA,SAN JUAN DE LURIGANCHO,ESQ. AV. PROCERES DE LA INDEPENDENCIA (EX-WIESSE) / AV. AMPLIACION MARISCAL CACERES MZ P15 LT 124
20514303283,EXPLORIUM S.A.C.,LIMA,LIMA,SAN JUAN DE LURIGANCHO,MZ. O - 6 LT. 46 MARISCAL CACERES (ESQ. AV. PROCERES DE LA INDEPENDENCIA CON JR. MOSCU)
20500095645,SERVICENTRO CELESTE S.A. ,CALLAO,CALLAO,CALLAO,"AV. QUILCA  S/N CUADRA 11, MZ. E, LT. 29, RESIDENCIAL AEROPUERTO, ESQ. CALLE SATURNO Y NEPTUNO"
20477909133,SUSOLI S.R.L,LIMA,LIMA,LURIGANCHO,"AV. CHOSICA-CARRETERA CAJAMARQUILLA, PARCELA 89, LOTE 89-B, URB. CAJAMARQUILLA, SEGUNDA ETAPA, ESQUINA CALLE 03."
20424210146,GRIFO SR DE HUAMANTANGA EIRL,LIMA,LIMA,PUENTE PIEDRA,"AV. SAN JUAN, MZ A, LOTE 3A, PAMPA LIBRE, KM. 1.5, CARRETERA AL CENTRO NUCLEAR DE HUARANGAL"
20538333736,H & P INGENIERÍA LÍQUIDA S.A.C.,LIMA,LIMA,SAN MARTIN DE PORRES,"AV. LOS DOMINICOS MZ. U, LT.18 - URBANIZACIÓN LOS CIPRESES"
20514380270,CORPORACION Q & T S.A.C.,LIMA,LIMA,CARABAYLLO,"AV. TUPAC AMARU KM. 22.5 ZONA DE HUACOY CARRETERA LIMA  CANTA, ASENTAMIENTO HUMANO VILLA SAN ANTONIO"
20605129154,GRIFOS GES SAC,LIMA,LIMA,LA VICTORIA,AV. ISABEL LA CATOLICA N° 690 
20430857861,GRIFOS DIANA S.A.C. ,LIMA,LIMA,LA VICTORIA,"AV. MEXICO 700, ESQUINA CALLE JUAN CASTRO"
20370508659,GRIFO J.H.P. E.I.R.LTDA.,LIMA,LIMA,LIMA,AV. OSCAR R. BENAVIDES INTERSECCIÓN JR. PRESBITERO GÁSPAR HERNÁNDEZ
20602408419,NEGOCIACIONES COMERCIALES DCG S.A.C.,LIMA,LIMA,EL AGUSTINO,JR. LAS RETAMAS MZ. A LOTE 01 COOPERATIVA DE VIVIENDA LAS PIRAMIDES
20564048217,GRIFO GASOIL S.A.C.,LIMA,LIMA,SAN JUAN DE LURIGANCHO,AV. GRAN CHIMU N° 1988 URB. ZARATE
