RUC,DIRECCIÓN,PRODUCTO,RAZÓN SOCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,FECHA DE REGISTRO,PRECIO DE VENTA (SOLES),UNIDAD
10040559138,AV. PROCERES DE LA INDEPENDENCIA N° 3810-A ESQ. JR. LOS SOCIOLOGOS URB. MARISCAL CACERES,Diesel B5 S-50 UV,SUCESION INDIVISA ARIAS ARZAPALO DEMETRIO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,2026-06-10 06:30:24,19.79,Galones
10040559138,AV. PROCERES DE LA INDEPENDENCIA N° 3810-A ESQ. JR. LOS SOCIOLOGOS URB. MARISCAL CACERES,GASOHOL PREMIUM,SUCESION INDIVISA ARIAS ARZAPALO DEMETRIO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,2026-06-10 06:30:24,18.69,Galones
10040559138,AV. PROCERES DE LA INDEPENDENCIA N° 3810-A ESQ. JR. LOS SOCIOLOGOS URB. MARISCAL CACERES,GASOHOL REGULAR,SUCESION INDIVISA ARIAS ARZAPALO DEMETRIO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,2026-06-10 06:30:24,17.39,Galones
10065518096,"AV. ANDRES AVELINO CACERES ZONA L LOTE 38, 39 Y 40 DEL PUEBLO JOVEN PROYECTO ESPECIAL HUAYCAN",Diesel B5 S-50 UV,RAUL TORRES QUIQUIA,LIMA,LIMA,ATE,2026-06-17 01:03:52,19.59,Galones
10065518096,"AV. ANDRES AVELINO CACERES ZONA L LOTE 38, 39 Y 40 DEL PUEBLO JOVEN PROYECTO ESPECIAL HUAYCAN",GASOHOL REGULAR,RAUL TORRES QUIQUIA,LIMA,LIMA,ATE,2026-06-17 01:03:52,17.69,Galones
10065518096,"AV. ANDRES AVELINO CACERES ZONA L LOTE 38, 39 Y 40 DEL PUEBLO JOVEN PROYECTO ESPECIAL HUAYCAN",GASOLINA REGULAR,RAUL TORRES QUIQUIA,LIMA,LIMA,ATE,2026-03-21 08:59:32,18.98,Galones
10067550230,ESQUINA AV. PROCERES Y AV. PORTALES. MZ. V-4. LOTE 66. URB. PRO,Diesel B5 S-50 UV,ADA PEREGRINA GALVEZ TRONCOS,LIMA,LIMA,LOS OLIVOS,2026-06-17 17:50:28,21.37,Galones
10067550230,ESQUINA AV. PROCERES Y AV. PORTALES. MZ. V-4. LOTE 66. URB. PRO,GASOHOL PREMIUM,ADA PEREGRINA GALVEZ TRONCOS,LIMA,LIMA,LOS OLIVOS,2026-06-17 17:50:28,20.27,Galones
10067550230,ESQUINA AV. PROCERES Y AV. PORTALES. MZ. V-4. LOTE 66. URB. PRO,GASOHOL REGULAR,ADA PEREGRINA GALVEZ TRONCOS,LIMA,LIMA,LOS OLIVOS,2026-06-17 17:50:28,19.17,Galones
10067589756,"AV. CHINCHAYSUYO Nº 402 - 404, URB. TAHUANTINSUYO",Diesel B5 S-50 UV,YVI HERMELINDA GALVEZ TRONCOS,LIMA,LIMA,INDEPENDENCIA,2026-06-18 09:47:18,20.29,Galones
10067589756,"AV. CHINCHAYSUYO Nº 402 - 404, URB. TAHUANTINSUYO",GASOHOL PREMIUM,YVI HERMELINDA GALVEZ TRONCOS,LIMA,LIMA,INDEPENDENCIA,2026-06-18 09:47:18,19.29,Galones
10067589756,"AV. CHINCHAYSUYO Nº 402 - 404, URB. TAHUANTINSUYO",GASOHOL REGULAR,YVI HERMELINDA GALVEZ TRONCOS,LIMA,LIMA,INDEPENDENCIA,2026-06-18 09:47:18,18.27,Galones
10069186233,PARCELA 6 COOPERATIVA AGRARIA MARIA PARADO DE BELLIDO,Diesel B5 S-50 UV,BECSABETH ROSALIA VILCAPOMA VELAZCO DE FLORES,LIMA,LIMA,CARABAYLLO,2026-06-17 15:51:07,20.99,Galones
10069186233,PARCELA 6 COOPERATIVA AGRARIA MARIA PARADO DE BELLIDO,GASOHOL REGULAR,BECSABETH ROSALIA VILCAPOMA VELAZCO DE FLORES,LIMA,LIMA,CARABAYLLO,2026-06-17 15:51:07,19.89,Galones
10070702075,"AV. EL RETABLO ESQUINA CON CALLE 6, MZ. C, LOTE 1, URB. EL RETABLO",Diesel B5 S-50 UV,VILMA ROSA MELENDEZ PELAEZ,LIMA,LIMA,COMAS,2026-06-13 14:02:42,21.09,Galones
10070702075,"AV. EL RETABLO ESQUINA CON CALLE 6, MZ. C, LOTE 1, URB. EL RETABLO",GASOHOL PREMIUM,VILMA ROSA MELENDEZ PELAEZ,LIMA,LIMA,COMAS,2026-06-13 14:02:42,19.99,Galones
10070702075,"AV. EL RETABLO ESQUINA CON CALLE 6, MZ. C, LOTE 1, URB. EL RETABLO",GASOHOL REGULAR,VILMA ROSA MELENDEZ PELAEZ,LIMA,LIMA,COMAS,2026-06-13 14:02:42,18.49,Galones
10070702075,JR. SAN CARLOS N° 1881 INTERSECCION CON AV. ANCASH,Diesel B5 S-50 UV,VILMA ROSA MELENDEZ PELAEZ,LIMA,LIMA,EL AGUSTINO,2026-06-17 08:33:22,22.19,Galones
